nameWithOwner,Url,Estrelas,Idade (anos),N̼mero de releases,CBO Median,DIT Max,LCOM Median,LOC Total
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart.git,36226.0,8.89,44.0,5.0,6,1.0,21111
googleapis/google-api-java-client-services,https://github.com/googleapis/google-api-java-client-services.git,477.0,4.53,0.0,4.0,47,22.0,6300462
ben-manes/concurrentlinkedhashmap,https://github.com/ben-manes/concurrentlinkedhashmap.git,437.0,8.01,0.0,2.0,20,0.0,12410
zxh0/classpy,https://github.com/zxh0/classpy.git,1041.0,8.59,7.0,3.0,20,0.0,6495
MagnusS/Java-BloomFilter,https://github.com/MagnusS/Java-BloomFilter.git,469.0,11.47,0.0,4.0,1,160.0,514
rongcloud/server-sdk-java,https://github.com/rongcloud/server-sdk-java.git,247.0,8.34,0.0,4.0,4,0.0,13358
alibaba/java-dns-cache-manipulator,https://github.com/alibaba/java-dns-cache-manipulator.git,758.0,7.97,22.0,5.0,4,1.0,1192
Evernote/evernote-sdk-java,https://github.com/Evernote/evernote-sdk-java.git,257.0,10.91,0.0,8.0,4,6.0,89106
microsoft/vscode-remote-try-java,https://github.com/microsoft/vscode-remote-try-java.git,205.0,3.91,0.0,0.5,1,1.5,15
kousen/java_8_recipes,https://github.com/kousen/java_8_recipes.git,347.0,7.01,0.0,1.0,5,0.0,4027
amazon-ion/ion-java,https://github.com/amazon-ion/ion-java.git,848.0,7.43,30.0,3.0,15,0.0,79413
maxmind/GeoIP2-java,https://github.com/maxmind/GeoIP2-java.git,682.0,9.95,43.0,6.0,4,1.0,2197
Grt1228/chatgpt-java,https://github.com/Grt1228/chatgpt-java.git,467.0,0.09,0.0,2.0,4,0.0,1901
jsonld-java/jsonld-java,https://github.com/jsonld-java/jsonld-java.git,366.0,11.25,0.0,1.0,22,0.0,7907
ua-parser/uap-java,https://github.com/ua-parser/uap-java.git,334.0,8.35,1.0,2.0,2,1.0,939
jython/jython,https://github.com/jython/jython.git,805.0,2.64,0.0,4.0,50,1.0,296356
SQiShER/java-object-diff,https://github.com/SQiShER/java-object-diff.git,867.0,10.9,14.0,2.0,5,0.0,5935
guardianproject/android-ffmpeg-java,https://github.com/guardianproject/android-ffmpeg-java.git,552.0,10.51,0.0,1.0,3,0.0,1764
steveonjava/JavaFX-Spring,https://github.com/steveonjava/JavaFX-Spring.git,142.0,10.55,0.0,6.0,2,0.0,627
waylau/netty-4-user-guide-demos,https://github.com/waylau/netty-4-user-guide-demos.git,1654.0,8.09,1.0,4.0,4,0.0,4374
vidstige/jadb,https://github.com/vidstige/jadb.git,555.0,9.64,6.0,2.0,4,1.0,2380
bobcarroll/jira-client,https://github.com/bobcarroll/jira-client.git,460.0,9.8,0.0,7.0,3,11.0,5819
matthiaskaiser/jmet,https://github.com/matthiaskaiser/jmet.git,453.0,6.65,1.0,1.0,3,1.0,900
optimaize/language-detector,https://github.com/optimaize/language-detector.git,535.0,9.04,2.0,3.0,2,1.0,3051
nviennot/jd-core-java,https://github.com/nviennot/jd-core-java.git,252.0,10.4,0.0,1.0,3,0.5,365
helloworldcoin/helloworldcoin-java,https://github.com/helloworldcoin/helloworldcoin-java.git,623.0,3.44,0.0,1.0,5,0.0,7999
daimajia/java-multithread-downloader,https://github.com/daimajia/java-multithread-downloader.git,260.0,9.77,0.0,2.0,3,2.5,845
alexlorenlee/JavaTutorialCode,https://github.com/alexlorenlee/JavaTutorialCode.git,115.0,3.95,0.0,0.0,1,0.0,973
spotify/apollo,https://github.com/spotify/apollo.git,1648.0,7.36,56.0,4.0,6,0.0,10914
openzipkin/brave,https://github.com/openzipkin/brave.git,2255.0,9.94,80.0,4.5,14,0.0,59654
javatuples/javatuples,https://github.com/javatuples/javatuples.git,439.0,10.84,0.0,1.0,2,0.0,3503
ff4j/ff4j,https://github.com/ff4j/ff4j.git,1165.0,9.73,15.0,5.0,9,1.0,35430
Glank/Java-Games,https://github.com/Glank/Java-Games.git,214.0,10.65,0.0,2.0,7,0.0,4045
pH-7/Simple-Java-Calculator,https://github.com/pH-7/Simple-Java-Calculator.git,188.0,10.87,2.0,1.0,1,0.0,422
leosanqing/Java-Notes,https://github.com/leosanqing/Java-Notes.git,646.0,3.99,0.0,2.0,6,1.0,7811
palatable/lambda,https://github.com/palatable/lambda.git,830.0,9.13,0.0,6.0,9,1.0,20679
isee15/captcha-ocr,https://github.com/isee15/captcha-ocr.git,138.0,7.66,0.0,2.0,5,0.0,2832
apache/cassandra,https://github.com/apache/cassandra.git,7863.0,13.82,0.0,4.0,63,1.0,492038
square/wire,https://github.com/square/wire.git,3978.0,9.57,0.0,6.0,5,1.0,46032
jaegertracing/jaeger-client-java,https://github.com/jaegertracing/jaeger-client-java.git,485.0,6.9,34.0,4.0,6,0.0,10274
TarsCloud/TarsJava,https://github.com/TarsCloud/TarsJava.git,379.0,4.51,7.0,3.0,20,1.0,27586
tianshb/JavaLearning,https://github.com/tianshb/JavaLearning.git,160.0,6.09,0.0,1.0,1,0.0,490
joestelmach/natty,https://github.com/joestelmach/natty.git,510.0,13.15,0.0,4.0,2,3.0,3495
PanagiotisDrakatos/JavaRansomware,https://github.com/PanagiotisDrakatos/JavaRansomware.git,103.0,6.24,0.0,2.5,3,1.0,1307
fommil/netlib-java,https://github.com/fommil/netlib-java.git,655.0,10.15,0.0,4.5,4,0.0,873
Lemonreds/javaee-blog,https://github.com/Lemonreds/javaee-blog.git,410.0,5.46,0.0,5.0,3,1.0,1976
OWASP/java-html-sanitizer,https://github.com/OWASP/java-html-sanitizer.git,758.0,7.89,6.0,2.0,3,0.0,13450
paypal/SeLion,https://github.com/paypal/SeLion.git,266.0,8.59,5.0,5.0,8,1.0,32419
dapr/java-sdk,https://github.com/dapr/java-sdk.git,223.0,3.43,13.0,3.0,6,0.0,20886
appsecco/dvja,https://github.com/appsecco/dvja.git,102.0,4.38,0.0,3.0,3,3.0,772
RuedigerMoeller/fast-serialization,https://github.com/RuedigerMoeller/fast-serialization.git,1510.0,9.27,67.0,3.0,13,0.0,24546
aws-samples/aws-java-sample,https://github.com/aws-samples/aws-java-sample.git,218.0,9.51,0.0,9.0,1,3.0,70
naveenanimation20/SeleniumJavaCourse,https://github.com/naveenanimation20/SeleniumJavaCourse.git,185.0,5.48,0.0,2.0,3,0.0,1468
cami-la/exceptions-java,https://github.com/cami-la/exceptions-java.git,584.0,1.47,0.0,1.0,3,0.5,137
72wukong/72crm-9.0-JAVA,https://github.com/72wukong/72crm-9.0-JAVA.git,642.0,3.85,9.0,4.0,4,3.0,23463
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP.git,17960.0,9.43,0.0,3.0,5,0.0,10640
VictorAlbertos/RxCache,https://github.com/VictorAlbertos/RxCache.git,2385.0,7.18,44.0,2.0,20,0.0,7109
udacity/ud867,https://github.com/udacity/ud867.git,670.0,8.0,0.0,0.0,3,245350.0,142812
streaming-with-flink/examples-java,https://github.com/streaming-with-flink/examples-java.git,283.0,6.31,0.0,4.5,4,0.0,439
caelum/vraptor,https://github.com/caelum/vraptor.git,384.0,13.99,4.0,3.0,5,0.0,25949
HuobiRDCenter/huobi_Java,https://github.com/HuobiRDCenter/huobi_Java.git,263.0,4.03,17.0,5.0,4,0.0,6193
kostaskougios/cloning,https://github.com/kostaskougios/cloning.git,555.0,8.01,0.0,1.0,7,0.0,2378
google/j2cl,https://github.com/google/j2cl.git,1034.0,5.74,0.0,2.0,33,0.0,210887
apache/camel,https://github.com/apache/camel.git,4768.0,13.82,0.0,3.0,444,0.0,1576188
apache/storm,https://github.com/apache/storm.git,6434.0,9.36,0.0,3.0,30,1.0,376893
apache/wicket,https://github.com/apache/wicket.git,669.0,13.82,0.0,3.0,29,0.0,171725
allure-framework/allure-java,https://github.com/allure-framework/allure-java.git,290.0,6.11,42.0,3.0,4,1.0,17151
bwaldvogel/liblinear-java,https://github.com/bwaldvogel/liblinear-java.git,307.0,14.4,0.0,4.0,3,0.0,4961
cloudevents/sdk-java,https://github.com/cloudevents/sdk-java.git,316.0,4.48,20.0,6.0,4,1.0,9948
kstyrc/embedded-redis,https://github.com/kstyrc/embedded-redis.git,797.0,9.59,0.0,2.5,4,0.5,1257
zerodha/javakiteconnect,https://github.com/zerodha/javakiteconnect.git,151.0,6.42,19.0,1.0,3,0.0,3056
crmeb/crmeb_java,https://github.com/crmeb/crmeb_java.git,413.0,2.59,0.0,6.0,4,0.0,34422
microsoft/playwright-java,https://github.com/microsoft/playwright-java.git,696.0,2.47,43.0,2.0,6,1.0,36183
aws-samples/amazon-ecs-java-microservices,https://github.com/aws-samples/amazon-ecs-java-microservices.git,339.0,5.77,0.0,4.0,3,0.0,652
ChrisMayfield/ThinkJavaCode2,https://github.com/ChrisMayfield/ThinkJavaCode2.git,124.0,5.61,1.0,1.0,4,0.0,2322
vitaly-chibrikov/stepic_java_webserver,https://github.com/vitaly-chibrikov/stepic_java_webserver.git,176.0,7.68,0.0,2.0,3,0.0,989
helun/Ektorp,https://github.com/helun/Ektorp.git,300.0,12.07,0.0,3.0,11,1.0,16538
Itiviti/simple-slack-api,https://github.com/Itiviti/simple-slack-api.git,471.0,8.44,12.0,3.0,3,0.0,6566
TencentCloud/tencentcloud-sdk-java,https://github.com/TencentCloud/tencentcloud-sdk-java.git,454.0,4.91,0.0,4.0,5,0.0,1592721
lindenb/jvarkit,https://github.com/lindenb/jvarkit.git,406.0,9.86,6.0,3.0,63,1.0,232100
starcwang/easy_javadoc,https://github.com/starcwang/easy_javadoc.git,1697.0,3.56,0.0,3.0,2,1.0,4609
fynnfluegge/oreon-engine,https://github.com/fynnfluegge/oreon-engine.git,578.0,7.24,0.0,5.0,8,0.0,15697
jbox2d/jbox2d,https://github.com/jbox2d/jbox2d.git,1014.0,9.19,0.0,3.0,8,0.0,54841
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik.git,14874.0,11.25,184.0,4.5,2,1.0,2051
fossasia/pslab-android,https://github.com/fossasia/pslab-android.git,2026.0,5.97,21.0,2.0,6,0.0,35924
cloudfoundry/cf-java-client,https://github.com/cloudfoundry/cf-java-client.git,318.0,11.48,110.0,3.0,7,1.0,38935
YunaBraska/nats-server-embedded,https://github.com/YunaBraska/nats-server-embedded.git,246.0,2.14,102.0,5.0,4,0.0,293
PingPlusPlus/pingpp-java,https://github.com/PingPlusPlus/pingpp-java.git,240.0,8.46,0.0,4.0,4,3.0,9456
a-schild/jave2,https://github.com/a-schild/jave2.git,971.0,10.03,24.0,2.5,4,1.0,4637
308tube/com.youtube.rest,https://github.com/308tube/com.youtube.rest.git,184.0,10.15,0.0,4.0,2,0.0,572
harrywfl/JavaGuide,https://github.com/harrywfl/JavaGuide.git,188.0,3.83,0.0,2.0,2,4.5,393
snazy/ohc,https://github.com/snazy/ohc.git,925.0,8.32,0.0,3.0,3,0.0,12839
smartdevicelink/sdl_java_suite,https://github.com/smartdevicelink/sdl_java_suite.git,186.0,8.46,60.0,3.0,8,0.0,102084
NoCortY/WebSSH,https://github.com/NoCortY/WebSSH.git,799.0,3.02,0.0,2.0,1,0.0,259
Kurento/kurento-tutorial-java,https://github.com/Kurento/kurento-tutorial-java.git,359.0,8.61,0.0,3.0,2,0.0,6082
taskadapter/redmine-java-api,https://github.com/taskadapter/redmine-java-api.git,260.0,10.93,2.0,4.0,5,0.0,8103
longfeizheng/blockchain-java,https://github.com/longfeizheng/blockchain-java.git,391.0,5.02,0.0,3.0,1,0.0,480
googleads/googleads-java-lib,https://github.com/googleads/googleads-java-lib.git,221.0,9.34,91.0,5.0,5,3.0,850128
konsoletyper/teavm,https://github.com/konsoletyper/teavm.git,2189.0,9.47,11.0,3.0,48,1.0,268584
mabe02/lanterna,https://github.com/mabe02/lanterna.git,1987.0,7.71,0.0,4.0,25,0.0,31231
webx/citrus,https://github.com/webx/citrus.git,758.0,11.4,0.0,3.0,38,0.0,142225
greenrobot/essentials,https://github.com/greenrobot/essentials.git,1354.0,8.36,1.0,2.0,7,0.0,5496
binarywang/java-testdata-generator,https://github.com/binarywang/java-testdata-generator.git,526.0,7.15,0.0,2.0,2,0.0,1336
nats-io/nats.java,https://github.com/nats-io/nats.java.git,463.0,7.39,67.0,4.0,9,1.0,46644
javaee-samples/javaee7-hol,https://github.com/javaee-samples/javaee7-hol.git,136.0,9.52,0.0,11.0,2,9.0,1178
jnr/jnr-ffi,https://github.com/jnr/jnr-ffi.git,1088.0,12.11,0.0,3.0,230,1.0,31376
michaelliao/cryptocurrency,https://github.com/michaelliao/cryptocurrency.git,835.0,6.41,0.0,3.0,6,1.0,4511
pedrovgs/Algorithms,https://github.com/pedrovgs/Algorithms.git,2763.0,8.35,0.0,3.0,9,0.0,5982
tozny/java-aes-crypto,https://github.com/tozny/java-aes-crypto.git,729.0,8.33,2.0,3.5,6,0.5,840
jhipster/prettier-java,https://github.com/jhipster/prettier-java.git,917.0,5.19,23.0,1.0,11,0.0,2660
usnistgov/jsip,https://github.com/usnistgov/jsip.git,250.0,6.88,0.0,3.0,8,1.0,106859
oktadev/java-microservices-examples,https://github.com/oktadev/java-microservices-examples.git,465.0,3.83,0.0,6.0,4,0.0,14808
facebook/facebook-java-business-sdk,https://github.com/facebook/facebook-java-business-sdk.git,342.0,7.29,7.0,4.0,119,0.0,555876
dingjs/javaagent,https://github.com/dingjs/javaagent.git,358.0,7.49,2.0,4.0,19,1.0,35344
jcip/jcip.github.com,https://github.com/jcip/jcip.github.com.git,371.0,10.12,0.0,1.0,4,0.0,4717
fantj2016/java-reader,https://github.com/fantj2016/java-reader.git,596.0,3.91,2.0,1.0,1,0.0,134
karussell/snacktory,https://github.com/karussell/snacktory.git,459.0,11.68,0.0,2.5,2,3.0,2298
techops-recsys-lateral-hiring/developer-joyofenergy-java,https://github.com/techops-recsys-lateral-hiring/developer-joyofenergy-java.git,114.0,2.47,0.0,3.0,1,0.0,455
DozerMapper/dozer,https://github.com/DozerMapper/dozer.git,2013.0,11.14,9.0,2.0,18,0.0,34226
com-lihaoyi/mill,https://github.com/com-lihaoyi/mill.git,1848.0,5.41,87.0,2.0,3,0.0,1411
Esri/geometry-api-java,https://github.com/Esri/geometry-api-java.git,664.0,10.16,12.0,5.0,7,1.0,70391
vorburger/MariaDB4j,https://github.com/vorburger/MariaDB4j.git,734.0,11.11,11.0,5.0,4,0.0,2233
IanDarwin/javasrc,https://github.com/IanDarwin/javasrc.git,224.0,9.43,0.0,1.0,14,0.0,44063
timols/java-gitlab-api,https://github.com/timols/java-gitlab-api.git,378.0,9.82,0.0,2.0,4,9.0,6444
signalapp/libsignal-service-java,https://github.com/signalapp/libsignal-service-java.git,565.0,8.04,0.0,2.0,5,0.0,10300
eviltester/javaForTestersCode,https://github.com/eviltester/javaForTestersCode.git,111.0,8.84,0.0,1.0,3,1.0,4219
brianway/webporter,https://github.com/brianway/webporter.git,2708.0,6.31,1.0,3.0,3,1.0,940
shack2/javaserializetools,https://github.com/shack2/javaserializetools.git,378.0,4.5,5.0,1.0,6,0.0,1874
THEONE10211024/RxJavaSamples,https://github.com/THEONE10211024/RxJavaSamples.git,1104.0,7.23,0.0,2.0,4,0.0,2390
jdereg/json-io,https://github.com/jdereg/json-io.git,303.0,9.53,0.0,2.0,4,0.0,6464
aws-samples/kubernetes-for-java-developers,https://github.com/aws-samples/kubernetes-for-java-developers.git,561.0,4.82,0.0,2.0,1,0.0,10
woorea/openstack-java-sdk,https://github.com/woorea/openstack-java-sdk.git,193.0,11.09,0.0,2.0,45,0.0,13913
aterai/java-swing-tips,https://github.com/aterai/java-swing-tips.git,436.0,8.51,0.0,1.0,12,0.0,40889
DataDog/dd-trace-java,https://github.com/DataDog/dd-trace-java.git,416.0,5.89,174.0,4.0,14,1.0,159170
oblac/jodd,https://github.com/oblac/jodd.git,3962.0,10.52,37.0,3.0,24,0.0,26882
OGRECave/ogre,https://github.com/OGRECave/ogre.git,3198.0,7.29,62.0,1.0,2,0.0,488
leetcoders/LeetCode-Java,https://github.com/leetcoders/LeetCode-Java.git,259.0,8.26,0.0,1.0,1,0.0,139
googleapis/google-oauth-java-client,https://github.com/googleapis/google-oauth-java-client.git,580.0,8.38,30.0,3.0,4,1.0,5654
microsoft/ApplicationInsights-Java,https://github.com/microsoft/ApplicationInsights-Java.git,252.0,8.28,93.0,2.0,29,0.0,46830
lemire/JavaFastPFOR,https://github.com/lemire/JavaFastPFOR.git,495.0,10.69,0.0,5.0,4,6.0,25793
raphw/byte-buddy,https://github.com/raphw/byte-buddy.git,5470.0,9.3,265.0,4.0,43,0.0,273951
jiang111/RxJavaApp,https://github.com/jiang111/RxJavaApp.git,1050.0,7.01,5.0,2.5,6,0.0,4648
restlet/restlet-framework-java,https://github.com/restlet/restlet-framework-java.git,636.0,11.24,0.0,4.0,19,1.0,123289
scream3r/java-simple-serial-connector,https://github.com/scream3r/java-simple-serial-connector.git,581.0,10.01,1.0,2.0,4,0.0,1392
georgewfraser/java-language-server,https://github.com/georgewfraser/java-language-server.git,486.0,7.01,0.0,2.0,22,0.0,135636
rampatra/jbot,https://github.com/rampatra/jbot.git,1190.0,6.78,9.0,4.0,3,10.0,4526
kwhat/jnativehook,https://github.com/kwhat/jnativehook.git,1496.0,9.46,25.0,2.0,6,1.0,2806
TakahikoKawasaki/nv-websocket-client,https://github.com/TakahikoKawasaki/nv-websocket-client.git,1956.0,7.97,0.0,3.0,4,3.0,6532
lkuza2/java-speech-api,https://github.com/lkuza2/java-speech-api.git,512.0,11.18,7.0,2.0,4,6.0,1640
aerospike/aerospike-client-java,https://github.com/aerospike/aerospike-client-java.git,219.0,9.11,0.0,5.0,64,0.0,44879
googlearchive/tango-examples-java,https://github.com/googlearchive/tango-examples-java.git,495.0,8.64,15.0,2.0,4,0.0,10328
uptop/JavaWebSocket,https://github.com/uptop/JavaWebSocket.git,264.0,5.76,0.0,4.5,1,4.5,65
protostuff/protostuff,https://github.com/protostuff/protostuff.git,1913.0,9.15,17.0,4.0,48,1.0,63575
xiaowei1118/java_server,https://github.com/xiaowei1118/java_server.git,351.0,7.66,0.0,1.0,2,6.0,7252
dawei101/shadowsocks-android-java,https://github.com/dawei101/shadowsocks-android-java.git,581.0,6.63,4.0,3.0,2,1.0,3517
braisdom/ObjectiveSql,https://github.com/braisdom/ObjectiveSql.git,1209.0,2.68,0.0,3.0,5,0.0,15978
RefactoringGuru/design-patterns-java,https://github.com/RefactoringGuru/design-patterns-java.git,665.0,5.5,0.0,2.0,6,0.0,4078
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor.git,15827.0,10.48,13.0,3.0,8,0.0,13150
apssouza22/java-microservice,https://github.com/apssouza22/java-microservice.git,309.0,5.95,0.0,4.0,4,0.0,1827
dschadow/JavaSecurity,https://github.com/dschadow/JavaSecurity.git,214.0,9.22,4.0,5.0,2,0.0,1724
afsalashyana/JavaFX-Tutorial-Codes,https://github.com/afsalashyana/JavaFX-Tutorial-Codes.git,103.0,4.49,0.0,3.5,6,1.0,1473
spotify-web-api-java/spotify-web-api-java,https://github.com/spotify-web-api-java/spotify-web-api-java.git,822.0,8.91,68.0,7.0,6,1.0,21328
alexa/alexa-skills-kit-sdk-for-java,https://github.com/alexa/alexa-skills-kit-sdk-for-java.git,801.0,7.68,74.0,6.0,6,1.0,9447
hapifhir/hapi-fhir,https://github.com/hapifhir/hapi-fhir.git,1647.0,8.72,69.0,6.0,31,0.0,438526
nguyenq/tess4j,https://github.com/nguyenq/tess4j.git,1277.0,8.72,56.0,2.0,10,0.0,4703
scala/scala-java8-compat,https://github.com/scala/scala-java8-compat.git,437.0,9.01,28.0,1.0,1,0.0,1091
OpenHFT/Java-Runtime-Compiler,https://github.com/OpenHFT/Java-Runtime-Compiler.git,569.0,9.47,14.0,0.5,3,0.0,799
jeffheaton/encog-java-core,https://github.com/jeffheaton/encog-java-core.git,740.0,11.73,3.0,4.0,6,1.0,63742
Samuel-Oliveira/Java_NFe,https://github.com/Samuel-Oliveira/Java_NFe.git,472.0,6.48,19.0,4.0,4,9.0,153090
spring-guides/gs-maven,https://github.com/spring-guides/gs-maven.git,144.0,9.91,0.0,1.0,1,0.0,30
cincheo/jsweet,https://github.com/cincheo/jsweet.git,1354.0,7.93,19.0,2.0,7,0.0,64644
java-decompiler/jd-core,https://github.com/java-decompiler/jd-core.git,406.0,3.84,10.0,4.0,8,2.0,44137
lemire/javaewah,https://github.com/lemire/javaewah.git,530.0,12.44,1.0,2.0,4,1.0,13334
java-decompiler/jd-eclipse,https://github.com/java-decompiler/jd-eclipse.git,668.0,7.89,2.0,3.0,2,0.0,541
google/truth,https://github.com/google/truth.git,2574.0,11.73,26.0,5.0,16,0.0,28250
hprose/hprose-java,https://github.com/hprose/hprose-java.git,555.0,9.04,43.0,3.0,4,0.0,18959
cbeust/jcommander,https://github.com/cbeust/jcommander.git,1822.0,12.67,0.0,2.0,5,0.0,6870
MatrixSeven/JavaAOP,https://github.com/MatrixSeven/JavaAOP.git,141.0,7.21,0.0,1.0,1,1.0,140
sofastack/sofa-jraft,https://github.com/sofastack/sofa-jraft.git,3136.0,4.03,26.0,3.0,18,1.0,145440
youxin11544/MVP-RxJava-Hybride,https://github.com/youxin11544/MVP-RxJava-Hybride.git,855.0,6.59,0.0,3.0,3,1.0,4130
anapsix/docker-alpine-java,https://github.com/anapsix/docker-alpine-java.git,719.0,7.69,0.0,0.0,1,0.0,12
redisson/redisson-examples,https://github.com/redisson/redisson-examples.git,303.0,6.33,0.0,2.0,1,0.0,1877
zhouit/Zblog,https://github.com/zhouit/Zblog.git,251.0,8.23,0.0,4.0,4,3.0,5870
yomorun/hashids-java,https://github.com/yomorun/hashids-java.git,956.0,8.91,1.0,3.0,1,89.5,425
mohammedabdulbari/Java-SE,https://github.com/mohammedabdulbari/Java-SE.git,163.0,2.92,0.0,0.0,6,0.0,4715
xpinjection/java8-misuses,https://github.com/xpinjection/java8-misuses.git,242.0,6.54,0.0,2.0,2,0.0,2200
google/error-prone,https://github.com/google/error-prone.git,6364.0,8.56,26.0,4.0,24,0.0,117549
SignalR/java-client,https://github.com/SignalR/java-client.git,323.0,9.17,0.0,2.0,4,0.0,6863
castello/javajungsuk_basic,https://github.com/castello/javajungsuk_basic.git,439.0,3.55,0.0,0.0,3,0.0,4428
waylau/essential-java,https://github.com/waylau/essential-java.git,599.0,7.23,0.0,0.0,3,0.0,1997
wg/scrypt,https://github.com/wg/scrypt.git,423.0,12.15,0.0,4.0,4,1.0,783
bbottema/simple-java-mail,https://github.com/bbottema/simple-java-mail.git,1068.0,7.91,92.0,4.5,6,1.0,14432
jblas-project/jblas,https://github.com/jblas-project/jblas.git,568.0,13.86,0.0,2.0,7,1.0,11403
NASAWorldWind/WorldWindJava,https://github.com/NASAWorldWind/WorldWindJava.git,666.0,7.38,9.0,3.0,30,1.0,290684
paulorievrs/java4noobs,https://github.com/paulorievrs/java4noobs.git,554.0,2.94,0.0,1.0,1,1.5,184
EsotericSoftware/kryo,https://github.com/EsotericSoftware/kryo.git,5753.0,9.36,30.0,3.0,76,1.0,28367
atjiu/pybbs,https://github.com/atjiu/pybbs.git,1591.0,7.93,13.0,5.0,4,1.0,7475
rubenlagus/TelegramBots,https://github.com/rubenlagus/TelegramBots.git,3592.0,7.17,77.0,7.0,5,0.0,17143
guoguibing/librec,https://github.com/guoguibing/librec.git,3158.0,9.18,3.0,6.0,8,1.0,30216
eoinsha/JavaPhoenixChannels,https://github.com/eoinsha/JavaPhoenixChannels.git,204.0,7.87,0.0,1.0,2,0.0,890
ESAPI/esapi-java-legacy,https://github.com/ESAPI/esapi-java-legacy.git,538.0,8.51,10.0,4.0,5,2.0,31832
asLody/legend,https://github.com/asLody/legend.git,1582.0,7.1,0.0,2.0,3,10.0,1520
kennycason/kumo,https://github.com/kennycason/kumo.git,572.0,8.7,0.0,2.0,5,0.0,3568
niumoo/JavaNotes,https://github.com/niumoo/JavaNotes.git,281.0,2.8,0.0,2.0,2,0.0,3521
Baidu-AIP/java-sdk,https://github.com/Baidu-AIP/java-sdk.git,535.0,5.52,0.0,1.0,3,0.0,4369
square/moshi,https://github.com/square/moshi.git,8820.0,8.6,0.0,2.0,9,0.0,11440
ZhuangM/student,https://github.com/ZhuangM/student.git,165.0,6.29,0.0,2.0,7,0.0,1203
pippo-java/pippo,https://github.com/pippo-java/pippo.git,771.0,8.38,0.0,4.5,10,1.0,17279
qos-ch/logback,https://github.com/qos-ch/logback.git,2652.0,13.57,0.0,3.0,6,0.0,52053
Devskiller/jfairy,https://github.com/Devskiller/jfairy.git,715.0,9.43,12.0,2.0,3,0.0,3198
census-instrumentation/opencensus-java,https://github.com/census-instrumentation/opencensus-java.git,670.0,6.63,47.0,6.0,10,0.0,39839
BigPeng/JavaCNN,https://github.com/BigPeng/JavaCNN.git,120.0,8.65,0.0,1.0,2,0.0,1519
jMonkeyEngine/jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine.git,3350.0,8.99,54.0,3.0,10,0.0,193074
forax/java-guide,https://github.com/forax/java-guide.git,511.0,3.21,0.0,2.0,1,3.0,394
GraxCode/JByteMod-Beta,https://github.com/GraxCode/JByteMod-Beta.git,763.0,5.49,30.0,3.0,39,0.0,70674
deathmarine/Luyten,https://github.com/deathmarine/Luyten.git,4678.0,9.68,17.0,1.0,11,0.0,6750
